area,hpwl,dead_or_overflow
2.137919000000000000e+06,1.610000000000000000e+02,9.819040000000000000e+05
2.137919000000000000e+06,1.610000000000000000e+02,9.819040000000000000e+05
1.933932000000000000e+06,4.060000000000000000e+02,7.777910000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
2.092496000000000000e+06,2.940000000000000000e+02,9.364880000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
1.527526000000000000e+06,5.600000000000000000e+02,3.711400000000000000e+05
2.092496000000000000e+06,2.940000000000000000e+02,9.364880000000000000e+05
1.527526000000000000e+06,5.600000000000000000e+02,3.711400000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
1.533798000000000000e+06,5.040000000000000000e+02,3.774400000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
1.527526000000000000e+06,5.600000000000000000e+02,3.711400000000000000e+05
1.527526000000000000e+06,5.600000000000000000e+02,3.711400000000000000e+05
1.933932000000000000e+06,4.060000000000000000e+02,7.777910000000000000e+05
1.544676000000000000e+06,4.970000000000000000e+02,3.883180000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
2.110332000000000000e+06,2.450000000000000000e+02,9.539740000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
2.137919000000000000e+06,1.610000000000000000e+02,9.819040000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
1.533798000000000000e+06,5.040000000000000000e+02,3.774400000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
1.527526000000000000e+06,5.600000000000000000e+02,3.711400000000000000e+05
2.092496000000000000e+06,2.940000000000000000e+02,9.364880000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
1.522920000000000000e+06,6.020000000000000000e+02,3.665620000000000000e+05
1.527526000000000000e+06,5.600000000000000000e+02,3.711400000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
2.092496000000000000e+06,2.940000000000000000e+02,9.364880000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
1.660120000000000000e+06,4.900000000000000000e+02,5.037480000000000000e+05
1.544676000000000000e+06,4.970000000000000000e+02,3.883180000000000000e+05
